2020-03-10 05:56:44,600 | zeep.xsd.schema - DEBUG - register_type('{http://www.w3.org/2001/XMLSchema}integer', <zeep.xsd.types.builtins.Integer object at 0x7f1145fca748>)
2020-03-10 05:56:44,600 | zeep.xsd.schema - DEBUG - register_type('{http://www.w3.org/2001/XMLSchema}nonPositiveInteger', <zeep.xsd.types.builtins.NonPositiveInteger object at 0x7f1145fca7b8>)
2020-03-10 05:56:44,600 | zeep.xsd.schema - DEBUG - register_type('{http://www.w3.org/2001/XMLSchema}negativeInteger', <zeep.xsd.types.builtins.NegativeInteger object at 0x7f1145fca7f0>)
2020-03-10 05:56:44,600 | zeep.xsd.schema - DEBUG - register_type('{http://www.w3.org/2001/XMLSchema}long', <zeep.xsd.types.builtins.Long object at 0x7f1145fca828>)
2020-03-10 05:56:44,600 | zeep.xsd.schema - DEBUG - register_type('{http://www.w3.org/2001/XMLSchema}int', <zeep.xsd.types.builtins.Int object at 0x7f1145fca898>)
2020-03-10 05:56:44,600 | zeep.xsd.schema - DEBUG - register_type('{http://www.w3.org/2001/XMLSchema}short', <zeep.xsd.types.builtins.Short object at 0x7f1145fca908>)
2020-03-10 05:56:44,600 | zeep.xsd.schema - DEBUG - register_type('{http://www.w3.org/2001/XMLSchema}byte', <zeep.xsd.types.builtins.Byte object at 0x7f1145fca978>)
2020-03-10 05:56:44,600 | zeep.xsd.schema - DEBUG - register_type('{http://www.w3.org/2001/XMLSchema}nonNegativeInteger', <zeep.xsd.types.builtins.NonNegativeInteger object at 0x7f1145fca9e8>)
2020-03-10 05:56:44,600 | zeep.xsd.schema - DEBUG - register_type('{http://www.w3.org/2001/XMLSchema}unsignedByte', <zeep.xsd.types.builtins.UnsignedByte object at 0x7f1145fcaa20>)
2020-03-10 05:56:44,600 | zeep.xsd.schema - DEBUG - register_type('{http://www.w3.org/2001/XMLSchema}unsignedInt', <zeep.xsd.types.builtins.UnsignedInt object at 0x7f1145fcaa58>)
2020-03-10 05:56:44,600 | zeep.xsd.schema - DEBUG - register_type('{http://www.w3.org/2001/XMLSchema}unsignedLong', <zeep.xsd.types.builtins.UnsignedLong object at 0x7f1145fcaa90>)
2020-03-10 05:56:44,601 | zeep.xsd.schema - DEBUG - register_type('{http://www.w3.org/2001/XMLSchema}unsignedShort', <zeep.xsd.types.builtins.UnsignedShort object at 0x7f1145fcaac8>)
2020-03-10 05:56:44,601 | zeep.xsd.schema - DEBUG - register_type('{http://www.w3.org/2001/XMLSchema}positiveInteger', <zeep.xsd.types.builtins.PositiveInteger object at 0x7f1145fcab00>)
2020-03-10 05:56:44,601 | zeep.xsd.schema - DEBUG - register_type('{http://www.w3.org/2001/XMLSchema}anyType', <zeep.xsd.types.any.AnyType object at 0x7f1145fcab38>)
2020-03-10 05:56:44,601 | zeep.xsd.schema - DEBUG - register_type('{http://www.w3.org/2001/XMLSchema}anySimpleType', <zeep.xsd.types.simple.AnySimpleType object at 0x7f1145fcab70>)
2020-03-10 05:56:44,601 | zeep.xsd.schema - DEBUG - register_element('{http://www.w3.org/2001/XMLSchema}schema', <zeep.xsd.elements.builtins.Schema object at 0x7f1145fcaba8>)
2020-03-10 05:56:44,601 | zeep.xsd.schema - DEBUG - Add document with tns http://www.w3.org/2001/XMLSchema to schema 139712219993256
2020-03-10 05:56:44,602 | zeep.wsdl.wsdl - DEBUG - Creating definition for /home/sunpaz/DTE/sii-dte-py/wsdl/maullin/CrSeed/CrSeed.wsdl
2020-03-10 05:56:44,602 | zeep.wsdl.wsdl - DEBUG - Adding message: {https://maullin.sii.cl/DTEWS/CrSeed.jws}getVersionMayorResponse
2020-03-10 05:56:44,602 | zeep.wsdl.wsdl - DEBUG - Adding message: {https://maullin.sii.cl/DTEWS/CrSeed.jws}getSeedResponse
2020-03-10 05:56:44,602 | zeep.wsdl.wsdl - DEBUG - Adding message: {https://maullin.sii.cl/DTEWS/CrSeed.jws}getVersionMenorRequest
2020-03-10 05:56:44,603 | zeep.wsdl.wsdl - DEBUG - Adding message: {https://maullin.sii.cl/DTEWS/CrSeed.jws}getVersionMayorRequest
2020-03-10 05:56:44,603 | zeep.wsdl.wsdl - DEBUG - Adding message: {https://maullin.sii.cl/DTEWS/CrSeed.jws}getVersionPatchRequest
2020-03-10 05:56:44,603 | zeep.wsdl.wsdl - DEBUG - Adding message: {https://maullin.sii.cl/DTEWS/CrSeed.jws}getVersionMenorResponse
